date,home_team,away_team,winner,first_shooter,first_shooter_connu
2014-05-05,Sealand,Chagos Islands,Chagos Islands,Inconnu,False
2014-05-29,Latvia,Estonia,Latvia,Estonia,True
2014-06-04,Abkhazia,South Ossetia,South Ossetia,Inconnu,False
2014-06-04,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,Inconnu,False
2014-06-05,Padania,Abkhazia,Padania,Inconnu,False
2014-06-05,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,Inconnu,False
2014-06-07,Padania,Iraqi Kurdistan,Padania,Inconnu,False
2014-06-08,County of Nice,Ellan Vannin,County of Nice,Inconnu,False
2014-06-28,Brazil,Chile,Brazil,Brazil,True
2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica,True
2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica,True
2014-07-09,Netherlands,Argentina,Argentina,Netherlands,True
2015-01-23,Iran,Iraq,Iraq,Iran,True
2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan,True
2015-01-30,Curaçao,Aruba,Aruba,Inconnu,False
2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea,True
2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana,True
2015-05-24,Zambia,Namibia,Namibia,Inconnu,False
2015-05-24,South Africa,Botswana,Botswana,Inconnu,False
2015-05-25,Mozambique,Malawi,Mozambique,Inconnu,False
2015-05-27,South Africa,Malawi,Malawi,Inconnu,False
2015-06-21,Ellan Vannin,Felvidék,Ellan Vannin,Inconnu,False
2015-06-26,Argentina,Colombia,Argentina,Colombia,True
2015-06-27,Brazil,Paraguay,Paraguay,Brazil,True
2015-07-02,Gibraltar,Åland Islands,Åland Islands,Inconnu,False
2015-07-04,Chile,Argentina,Chile,Chile,True
2015-07-19,Trinidad and Tobago,Panama,Panama,Panama,True
2015-07-25,United States,Panama,Panama,United States,True
2015-10-13,El Salvador,Guatemala,Guatemala,Inconnu,False
2016-05-27,Corsica,Basque Country,Basque Country,Inconnu,False
2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus,Inconnu,False
2016-06-02,Iraqi Kurdistan,Padania,Padania,Inconnu,False
2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina,Inconnu,False
2016-06-03,Thailand,Syria,Thailand,Inconnu,False
2016-06-03,Vietnam,Hong Kong,Vietnam,Inconnu,False
2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia,Inconnu,False
2016-06-03,Chagos Islands,Raetia,Raetia,Inconnu,False
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan,True
2016-06-05,Abkhazia,Panjab,Abkhazia,Inconnu,False
2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand,True
2016-06-17,Peru,Colombia,Colombia,Colombia,True
2016-06-18,Namibia,Botswana,Botswana,Inconnu,False
2016-06-18,South Africa,Lesotho,South Africa,Inconnu,False
2016-06-19,Zambia,Eswatini,Eswatini,Inconnu,False
2016-06-22,Botswana,DR Congo,Botswana,Inconnu,False
2016-06-25,Switzerland,Poland,Poland,Switzerland,True
2016-06-26,Argentina,Chile,Chile,Chile,True
2016-06-30,Poland,Portugal,Portugal,Portugal,True
2016-07-02,Germany,Italy,Germany,Italy,True
2016-08-01,Felvidék,Kárpátalja,Felvidék,Inconnu,False
2017-01-11,Chile,Croatia,Chile,Inconnu,False
2017-01-14,China PR,Croatia,China PR,Inconnu,False
2017-01-28,Senegal,Cameroon,Cameroon,Senegal,True
2017-02-01,Burkina Faso,Egypt,Egypt,Egypt,True
2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja,Inconnu,False
2017-06-09,Padania,Abkhazia,Padania,Inconnu,False
2017-06-10,Northern Cyprus,Padania,Padania,Inconnu,False
2017-06-28,Portugal,Chile,Chile,Chile,True
2017-06-29,Hitra,Western Isles,Western Isles,Inconnu,False
2017-06-29,Greenland,Menorca,Greenland,Inconnu,False
2017-07-01,Namibia,Lesotho,Lesotho,Inconnu,False
2017-07-07,Tanzania,Lesotho,Tanzania,Inconnu,False
2017-07-16,Thailand,Belarus,Thailand,Inconnu,False
2018-03-21,South Africa,Angola,South Africa,Inconnu,False
2018-03-21,Zambia,Zimbabwe,Zambia,Inconnu,False
2018-03-22,Thailand,Gabon,Thailand,Inconnu,False
2018-03-24,Angola,Zimbabwe,Angola,Inconnu,False
2018-06-02,Zambia,Namibia,Zambia,Inconnu,False
2018-06-03,Andorra,Cape Verde,Cape Verde,Inconnu,False
2018-06-03,South Africa,Madagascar,Madagascar,Inconnu,False
2018-06-03,Zimbabwe,Botswana,Zimbabwe,Inconnu,False
2018-06-05,Matabeleland,Kabylia,Kabylia,Inconnu,False
2018-06-06,Lesotho,Zimbabwe,Zimbabwe,Inconnu,False
2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan,Inconnu,False
2018-06-09,Panjab,Cascadia,Panjab,Inconnu,False
2018-06-09,Padania,Székely Land,Padania,Inconnu,False
2018-06-09,Northern Cyprus,Kárpátalja,Kárpátalja,Inconnu,False
2018-07-01,Russia,Spain,Russia,Spain,True
2018-07-01,Croatia,Denmark,Croatia,Denmark,True
2018-07-03,Colombia,England,England,Colombia,True
2018-07-07,Russia,Croatia,Croatia,Russia,True
2019-01-20,Jordan,Vietnam,Vietnam,Vietnam,True
2019-01-21,Australia,Uzbekistan,Australia,Australia,True
2019-03-23,Oman,Singapore,Oman,Inconnu,False
2019-05-11,Guernsey,Jersey,Jersey,Inconnu,False
2019-06-01,Lesotho,Uganda,Lesotho,Inconnu,False
2019-06-02,South Africa,Botswana,Botswana,Inconnu,False
2019-06-02,Zambia,Malawi,Zambia,Inconnu,False
2019-06-04,South Africa,Uganda,South Africa,Inconnu,False
2019-06-05,Zimbabwe,Zambia,Zambia,Inconnu,False
2019-06-06,Abkhazia,Western Armenia,Western Armenia,Inconnu,False
2019-06-06,South Ossetia,Chameria,South Ossetia,Inconnu,False
2019-06-07,Lesotho,Zimbabwe,Zimbabwe,Inconnu,False
2019-06-07,South Africa,Malawi,South Africa,Inconnu,False
2019-06-08,Abkhazia,Chameria,Abkhazia,Inconnu,False
2019-06-09,Switzerland,England,England,England,True
2019-06-27,Brazil,Paraguay,Brazil,Paraguay,True
2019-06-28,Colombia,Chile,Chile,Colombia,True
2019-06-29,Mexico,Costa Rica,Mexico,Mexico,True
2019-06-29,Uruguay,Peru,Peru,Uruguay,True
2019-07-05,Morocco,Benin,Benin,Benin,True
2019-07-07,Madagascar,DR Congo,Madagascar,Madagascar,True
2019-07-08,Ghana,Tunisia,Tunisia,Ghana,True
2019-07-11,Ivory Coast,Algeria,Algeria,Algeria,True
2019-07-28,Mauritius,Réunion,Réunion,Inconnu,False
2019-09-08,Tanzania,Burundi,Tanzania,Tanzania,True
2019-10-13,Chad,Liberia,Chad,Inconnu,False
2019-10-13,Gambia,Djibouti,Gambia,Inconnu,False
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina,True
2020-10-08,Slovakia,Republic of Ireland,Slovakia,Slovakia,True
2020-10-08,Scotland,Israel,Scotland,Scotland,True
2020-11-12,Serbia,Scotland,Scotland,Scotland,True
2021-06-03,Mexico,Costa Rica,Mexico,Mexico,True
2021-06-06,Honduras,Costa Rica,Honduras,Costa Rica,True
2021-06-28,France,Switzerland,Switzerland,Switzerland,True
2021-07-02,Peru,Paraguay,Peru,Paraguay,True
2021-07-02,Switzerland,Spain,Spain,Spain,True
2021-07-03,Uruguay,Colombia,Colombia,Colombia,True
2021-07-06,Italy,Spain,Italy,Italy,True
2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana,True
2021-07-06,Argentina,Colombia,Argentina,Colombia,True
2021-07-06,Guatemala,Guadeloupe,Guadeloupe,Guatemala,True
2021-07-11,England,Italy,Italy,Italy,True
2021-07-16,Senegal,Eswatini,Senegal,Eswatini,True
2021-07-18,Eswatini,Mozambique,Eswatini,Mozambique,True
2021-07-18,South Africa,Senegal,South Africa,South Africa,True
2021-11-19,Sri Lanka,Seychelles,Seychelles,Inconnu,False
2021-12-11,Morocco,Algeria,Algeria,Algeria,True
2021-12-18,Qatar,Egypt,Qatar,Qatar,True
2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon,True
2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast,True
2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,True
2022-02-03,Cameroon,Egypt,Egypt,Cameroon,True
2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon,True
2022-02-06,Senegal,Egypt,Senegal,Senegal,True
2022-03-25,Tajikistan,Uganda,Uganda,Inconnu,False
2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova,True
2022-03-29,Senegal,Egypt,Senegal,Senegal,True
2022-06-13,Australia,Peru,Australia,Australia,True
2022-06-14,Chile,Ghana,Ghana,Chile,True
2022-07-12,Zambia,Botswana,Zambia,Inconnu,False
2022-07-13,South Africa,Mozambique,Mozambique,Inconnu,False
2022-07-13,Senegal,Eswatini,Senegal,Inconnu,False
2022-07-17,Mozambique,Senegal,Senegal,Inconnu,False
2022-09-22,Thailand,Malaysia,Malaysia,Inconnu,False
2022-09-23,Iraq,Oman,Oman,Inconnu,False
2022-09-25,Malaysia,Tajikistan,Tajikistan,Inconnu,False
2022-11-16,Lithuania,Iceland,Iceland,Lithuania,True
2022-11-16,Latvia,Estonia,Latvia,Latvia,True
2022-11-19,Latvia,Iceland,Iceland,Iceland,True
2022-12-05,Japan,Croatia,Croatia,Japan,True
2022-12-06,Morocco,Spain,Morocco,Morocco,True
2022-12-09,Croatia,Brazil,Croatia,Croatia,True
2022-12-09,Netherlands,Argentina,Argentina,Netherlands,True
2022-12-18,Argentina,France,Argentina,France,True
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,True
2023-06-17,Guyana,Grenada,Guyana,Guyana,True
2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname,True
2023-06-18,Croatia,Spain,Spain,Croatia,True
2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana,True
2023-07-01,India,Lebanon,India,India,True
2023-07-04,India,Kuwait,India,India,True
2023-07-09,United States,Canada,United States,Canada,True
2023-07-09,Orkney,Greenland,Greenland,Inconnu,False
2023-07-12,United States,Panama,Panama,United States,True
2023-07-13,Åland Islands,Falkland Islands,Åland Islands,Åland Islands,True
2023-07-14,Malawi,Lesotho,Lesotho,Inconnu,False
2023-07-16,South Africa,Malawi,South Africa,Inconnu,False
2023-09-07,Iraq,India,Iraq,India,True
2023-09-10,Thailand,Iraq,Iraq,Thailand,True
2023-10-13,Iraq,Qatar,Qatar,Qatar,True
2023-11-21,Mexico,Honduras,Mexico,Mexico,True
2023-12-02,Solomon Islands,New Caledonia,New Caledonia,Inconnu,False
2024-01-28,Egypt,DR Congo,DR Congo,Egypt,True
2024-01-28,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan,True
2024-01-29,Ivory Coast,Senegal,Ivory Coast,Senegal,True
2024-01-30,Saudi Arabia,South Korea,South Korea,Saudi Arabia,True
2024-01-31,Iran,Syria,Iran,Iran,True
2024-02-03,Cape Verde,South Africa,South Africa,Cape Verde,True
2024-02-03,Qatar,Uzbekistan,Qatar,Uzbekistan,True
2024-02-07,Nigeria,South Africa,Nigeria,Nigeria,True
2024-03-23,Tunisia,Croatia,Croatia,Croatia,True
2024-03-26,New Zealand,Tunisia,Tunisia,New Zealand,True
2024-03-26,Wales,Poland,Poland,Poland,True
2024-03-26,Georgia,Greece,Georgia,Georgia,True
2024-03-26,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands,True
2024-03-26,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands,True
2024-06-11,Lithuania,Estonia,Estonia,Lithuania,True
2024-07-01,Portugal,Slovenia,Portugal,Slovenia,True
2024-07-04,Argentina,Ecuador,Argentina,Argentina,True
2024-07-05,Portugal,France,France,France,True
2024-07-05,Venezuela,Canada,Canada,Venezuela,True
2024-07-06,England,Switzerland,England,England,True
2024-07-06,Uruguay,Brazil,Uruguay,Uruguay,True
2024-07-13,Canada,Uruguay,Uruguay,Canada,True
2024-09-08,Tajikistan,Philippines,Tajikistan,Inconnu,False
2024-09-10,Cambodia,Sri Lanka,Sri Lanka,Cambodia,True
2025-06-08,Portugal,Spain,Portugal,Portugal,True
2025-06-28,Panama,Honduras,Honduras,Panama,True
2025-06-29,Canada,Guatemala,Guatemala,Canada,True
2025-06-29,United States,Costa Rica,United States,Costa Rica,True
2025-07-13,Gozo,Shetland,Gozo,Gozo,True
2025-07-17,Gozo,Western Isles,Gozo,Inconnu,False
2025-08-13,United States Virgin Islands,Turks and Caicos Islands,United States Virgin Islands,Inconnu,False
2025-11-13,Iran,Cape Verde,Iran,Inconnu,False
2025-11-16,Nigeria,DR Congo,DR Congo,Nigeria,True
2025-11-17,Cape Verde,Egypt,Egypt,Inconnu,False
2025-11-18,Iran,Uzbekistan,Uzbekistan,Inconnu,False
2025-11-23,Papua New Guinea,Vanuatu,Vanuatu,Inconnu,False
2025-11-25,Palestine,Libya,Palestine,Inconnu,False
2025-11-26,Oman,Somalia,Oman,Inconnu,False
2025-11-26,Comoros,Yemen,Comoros,Inconnu,False
2025-12-12,Algeria,United Arab Emirates,United Arab Emirates,Inconnu,False
2026-01-03,Mali,Tunisia,Mali,Tunisia,True
2026-01-14,Morocco,Nigeria,Morocco,Morocco,True
2026-01-17,Egypt,Nigeria,Nigeria,Nigeria,True
2026-03-26,Wales,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,True
2026-03-26,Czech Republic,Republic of Ireland,Czech Republic,Republic of Ireland,True
2026-03-27,Kenya,Estonia,Estonia,Estonia,True
2026-03-28,Namibia,Comoros,Namibia,Inconnu,False
2026-03-30,Azerbaijan,Sierra Leone,Azerbaijan,Inconnu,False
2026-03-30,Cape Verde,Finland,Cape Verde,Cape Verde,True
2026-03-30,Gabon,Trinidad and Tobago,Gabon,Inconnu,False
2026-03-30,Uzbekistan,Venezuela,Uzbekistan,Inconnu,False
2026-03-31,Bosnia and Herzegovina,Italy,Bosnia and Herzegovina,Bosnia and Herzegovina,True
2026-03-31,Czech Republic,Denmark,Czech Republic,Denmark,True
